region,crop,year,forecast_method,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_lag1,yield_lag2,yield_pred
PYG,maize,2021,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,1.83,1.75,1.9980021718544263
PYG,maize,2022,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,1.9980021718544263,1.83,2.108654851800093
PYG,maize,2023,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,2.108654851800093,1.9980021718544263,2.1784379127436857
PYG,maize,2024,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,2.1784379127436857,2.108654851800093,2.23827576498479
PYG,maize,2025,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,2.23827576498479,2.1784379127436857,2.3020230365264585
PYG,maize,2026,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,2.3020230365264585,2.23827576498479,2.3709996280387156
PYG,maize,2027,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,2.3709996280387156,2.3020230365264585,2.4424124749736285
PYG,maize,2028,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,2.4424124749736285,2.3709996280387156,2.5136466785268046
PYG,maize,2029,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,2.5136466785268046,2.4424124749736285,2.583076258968333
PYG,maize,2030,past_only,,28.35903545,,0.468033299,,,,1906.12627,1893.72804,1918.5245,,,,,,125.518917,,,,,,,,,175.14380274999996,,,,,,,,,,,,,8.589563615000001,,,,29.6166010125,33.578514125,25.6546879,,268.72658524999997,,,2.583076258968333,2.5136466785268046,2.64965018582618
