region,crop,year,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_lag1,yield_lag2,yield_pred
PYG,wheat,2030,,28.285278607496366,,0.9012341658084466,,,1883.088985929822,,,,125.34670291298289,,,155.254723788421,,,,,95.43868203754482,,,149.14788248787863,,,,,,,,,269.92065978676555,269.92065978676555,,92.78475430270578,,,0.12081129560294634,,,,,19.25500004154705,26.590295940625964,11.919704142468127,,,,,3.840331500353997,3.5482138166730355,3.944683744593371
SNB,maize,2021,44.39385854802086,,,0.4276973431630957,,,,1901.8828545886581,1903.1092607869205,1894.4980883487765,,,,,,108.55681849666666,,,,,281.07675438596516,,,186.50071942142856,,,,,,272.93018622738083,,,,31.264613354523874,,,,,,10.087714935666725,,28.90511520196079,33.8907344973856,23.919495906535943,,,,,1.32,1.11,1.3492037777939525
SNB,maize,2022,44.43863651011222,,,0.42851634598419963,,,,1904.9098969675533,1906.2710463229441,1897.079353557248,,,,,,108.58804252536795,,,,,280.41888706140367,,,186.59118155714285,,,,,,272.93239560627694,,,,31.31901593816025,,,,,,10.28911950138746,,28.876731410281224,33.868649495940815,23.884813324621604,,,,,1.3492037777939525,1.32,1.3986192703442912
SNB,maize,2023,44.48341447220358,,,0.42933534880530355,,,,1907.9369393464494,1909.4328318589687,1899.6606187657185,,,,,,108.61926655406924,,,,,279.7610197368424,,,186.68164369285714,,,,,,272.93460498517305,,,,31.37341852179661,,,,,,10.490524067108254,,28.848347618601657,33.84656449449603,23.850130742707265,,,,,1.3986192703442912,1.3492037777939525,1.4653060769786803
SNB,maize,2024,44.52819243429495,,,0.43015435162640725,,,,1910.9639817253455,1912.5946173949933,1902.24188397419,,,,,,108.65049058277054,,,,,279.1031524122809,,,186.7721058285714,,,,,,272.93681436406916,,,,31.42782110543297,,,,,,10.691928632829047,,28.81996382692209,33.824479493051236,23.81544816079291,,,,,1.4653060769786803,1.3986192703442912,1.540926308429742
SNB,maize,2025,44.57297039638631,,,0.43097335444751117,,,,1913.9910241042417,1915.7564029310179,1904.8231491826614,,,,,,108.68171461147185,,,,,278.4452850877194,,,186.8625679642857,,,,,,272.9390237429652,,,,31.482223689069343,,,,,,10.89333319854984,,28.791580035242525,33.80239449160645,23.780765578878572,,,,,1.540926308429742,1.4653060769786803,1.6217225760344336
SNB,maize,2026,44.61774835847767,,,0.4317923572686151,,,,1917.0180664831378,1918.9181884670415,1907.4044143911328,,,,,,108.71293864017315,,,,,277.78741776315815,,,186.95303009999998,,,,,,272.94123312186133,,,,31.536626272705703,,,,,,11.094737764270633,,28.76319624356296,33.780309490161656,23.74608299696422,,,,,1.6217225760344336,1.540926308429742,1.7061664203268416
SNB,maize,2027,44.66252632056903,,,0.432611360089719,,,,1920.0451088620339,1922.0799740030661,1909.9856795996043,,,,,,108.74416266887445,,,,,277.12955043859665,,,187.04349223571424,,,,,,272.94344250075744,,,,31.591028856342078,,,,,,11.296142329991369,,28.734812451883393,33.75822448871687,23.71140041504988,,,,,1.7061664203268416,1.6217225760344336,1.7933980121662136
SNB,maize,2028,44.70730428266039,,,0.43343036291082293,,,,1923.07215124093,1925.2417595390907,1912.5669448080757,,,,,,108.77538669757574,,,,,276.4716831140354,,,187.13395437142853,,,,,,272.94565187965355,,,,31.645431439978438,,,,,,11.497546895712162,,28.706428660203827,33.736139487272084,23.67671783313554,,,,,1.7933980121662136,1.7061664203268416,1.882611280602894
SNB,maize,2029,44.75208224475175,,,0.43424936573192685,,,,1926.099193619826,1928.4035450751144,1915.1482100165463,,,,,,108.80661072627703,,,,,275.8138157894739,,,187.22441650714282,,,,,,272.94786125854966,,,,31.699834023614812,,,,,,11.698951461432955,,28.67804486852426,33.71405448582729,23.642035251221188,,,,,1.882611280602894,1.7933980121662136,1.9728371045232524
